Non_atomic_1000k_CL,Non_atomic_1000k_BF,Non_atomic_1000k_Diff,Non_atomic_1000k_Rel,Non_atomic_2000k_CL,Non_atomic_2000k_BF,Non_atomic_2000k_Diff,Non_atomic_2000k_Rel,Non_atomic_3000k_CL,Non_atomic_3000k_BF,Non_atomic_3000k_Diff,Non_atomic_3000k_Rel,Non_atomic_4000k_CL,Non_atomic_4000k_BF,Non_atomic_4000k_Diff,Non_atomic_4000k_Rel,Non_atomic_5000k_CL,Non_atomic_5000k_BF,Non_atomic_5000k_Diff,Non_atomic_5000k_Rel,Non_atomic_5000_diff,Non_atomic_5000_rel,testNset_1000k_CL,testNset_1000k_BF,testNset_1000k_Diff,testNset_1000k_Rel,testNset_2000k_CL,testNset_2000k_BF,testNset_2000k_Diff,testNset_2000k_Rel,testNset_3000k_CL,testNset_3000k_BF,testNset_3000k_Diff,testNset_3000k_Rel,testNset_4000k_CL,testNset_4000k_BF,testNset_4000k_Diff,testNset_4000k_Rel,testNset_5000k_CL,testNset_5000k_BF,testNset_5000k_Diff,testNset_5000k_Rel,testNset_5000_diff,testNset_5000_rel,boolean_1000k_CL,boolean_1000k_BF,boolean_1000k_Diff,boolean_1000k_Rel,boolean_2000k_CL,boolean_2000k_BF,boolean_2000k_Diff,boolean_2000k_Rel,boolean_3000k_CL,boolean_3000k_BF,boolean_3000k_Diff,boolean_3000k_Rel,boolean_4000k_CL,boolean_4000k_BF,boolean_4000k_Diff,boolean_4000k_Rel,boolean_5000k_CL,boolean_5000k_BF,boolean_5000k_Diff,boolean_5000k_Rel,boolean_5000_diff,boolean_5000_rel,condition_1000k_CL,condition_1000k_BF,condition_1000k_Diff,condition_1000k_Rel,condition_2000k_CL,condition_2000k_BF,condition_2000k_Diff,condition_2000k_Rel,condition_3000k_CL,condition_3000k_BF,condition_3000k_Diff,condition_3000k_Rel,condition_4000k_CL,condition_4000k_BF,condition_4000k_Diff,condition_4000k_Rel,condition_5000k_CL,condition_5000k_BF,condition_5000k_Diff,condition_5000k_Rel,condition_5000_diff,condition_5000_rel,Barrier_1000k_CL,Barrier_1000k_BF,Barrier_1000k_Diff,Barrier_1000k_Rel,Barrier_2000k_CL,Barrier_2000k_BF,Barrier_2000k_Diff,Barrier_2000k_Rel,Barrier_3000k_CL,Barrier_3000k_BF,Barrier_3000k_Diff,Barrier_3000k_Rel,Barrier_4000k_CL,Barrier_4000k_BF,Barrier_4000k_Diff,Barrier_4000k_Rel,Barrier_5000k_CL,Barrier_5000k_BF,Barrier_5000k_Diff,Barrier_5000k_Rel,Barrier_5000_diff,Barrier_5000_rel,semaphore_1000k_CL,semaphore_1000k_BF,semaphore_1000k_Diff,semaphore_1000k_Rel,semaphore_2000k_CL,semaphore_2000k_BF,semaphore_2000k_Diff,semaphore_2000k_Rel,semaphore_3000k_CL,semaphore_3000k_BF,semaphore_3000k_Diff,semaphore_3000k_Rel,semaphore_4000k_CL,semaphore_4000k_BF,semaphore_4000k_Diff,semaphore_4000k_Rel,semaphore_5000k_CL,semaphore_5000k_BF,semaphore_5000k_Diff,semaphore_5000k_Rel,semaphore_5000_diff,semaphore_5000_rel,lock_1000k_CL,lock_1000k_BF,lock_1000k_Diff,lock_1000k_Rel,lock_2000k_CL,lock_2000k_BF,lock_2000k_Diff,lock_2000k_Rel,lock_3000k_CL,lock_3000k_BF,lock_3000k_Diff,lock_3000k_Rel,lock_4000k_CL,lock_4000k_BF,lock_4000k_Diff,lock_4000k_Rel,lock_5000k_CL,lock_5000k_BF,lock_5000k_Diff,lock_5000k_Rel,lock_5000_diff,lock_5000_rel,complex_1000k_CL,complex_1000k_BF,complex_1000k_Diff,complex_1000k_Rel,complex_2000k_CL,complex_2000k_BF,complex_2000k_Diff,complex_2000k_Rel,complex_3000k_CL,complex_3000k_BF,complex_3000k_Diff,complex_3000k_Rel,complex_4000k_CL,complex_4000k_BF,complex_4000k_Diff,complex_4000k_Rel,complex_5000k_CL,complex_5000k_BF,complex_5000k_Diff,complex_5000k_Rel,complex_5000_diff,complex_5000_rel,dragons_1000k_CL,dragons_1000k_BF,dragons_1000k_Diff,dragons_1000k_Rel,dragons_2000k_CL,dragons_2000k_BF,dragons_2000k_Diff,dragons_2000k_Rel,dragons_3000k_CL,dragons_3000k_BF,dragons_3000k_Diff,dragons_3000k_Rel,dragons_4000k_CL,dragons_4000k_BF,dragons_4000k_Diff,dragons_4000k_Rel,dragons_5000k_CL,dragons_5000k_BF,dragons_5000k_Diff,dragons_5000k_Rel,dragons_5000_diff,dragons_5000_rel,math_1000k_CL,math_1000k_BF,math_1000k_Diff,math_1000k_Rel,math_2000k_CL,math_2000k_BF,math_2000k_Diff,math_2000k_Rel,math_3000k_CL,math_3000k_BF,math_3000k_Diff,math_3000k_Rel,math_4000k_CL,math_4000k_BF,math_4000k_Diff,math_4000k_Rel,math_5000k_CL,math_5000k_BF,math_5000k_Diff,math_5000k_Rel,math_5000_diff,math_5000_rel
Case,1000_statistic,1000_p_value,1000_significantly,2000_statistic,2000_p_value,2000_significantly,3000_statistic,3000_p_value,3000_significantly,4000_statistic,4000_p_value,4000_significantly,5000_statistic,5000_p_value,5000_significantly
Non_atomic,nan,nan,No statistically,nan,nan,No statistically,nan,nan,No statistically,nan,nan,No statistically,nan,nan,No statistically
testNset,nan,nan,No statistically,nan,nan,No statistically,nan,nan,No statistically,nan,nan,No statistically,nan,nan,No statistically
boolean,nan,nan,No statistically,nan,nan,No statistically,nan,nan,No statistically,nan,nan,No statistically,nan,nan,No statistically
condition,nan,nan,No statistically,nan,nan,No statistically,nan,nan,No statistically,nan,nan,No statistically,nan,nan,No statistically
Barrier,nan,nan,No statistically,nan,nan,No statistically,nan,nan,No statistically,nan,nan,No statistically,nan,nan,No statistically
semaphore,nan,nan,No statistically,nan,nan,No statistically,nan,nan,No statistically,nan,nan,No statistically,nan,nan,No statistically
lock,nan,nan,No statistically,nan,nan,No statistically,nan,nan,No statistically,nan,nan,No statistically,nan,nan,No statistically
complex,nan,nan,No statistically,nan,nan,No statistically,nan,nan,No statistically,nan,nan,No statistically,nan,nan,No statistically
dragons,nan,nan,No statistically,nan,nan,No statistically,nan,nan,No statistically,nan,nan,No statistically,nan,nan,No statistically
math,nan,nan,No statistically,nan,nan,No statistically,nan,nan,No statistically,nan,nan,No statistically,nan,nan,No statistically
Total,nan,nan,No statistically
